ID|DISPLAYED_NAME|Code|.png|PARTNER_NAME| INN|OGRN|ABOUT_INFO|ADDRESS|ADDRESS_ACTUAL|SITE| ACTIVE_FLAG|PHONE
27|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СБЕРБАНК-СЕРВИС"|Sberservice|sberservice.png|СберСервис|7736663049|1137746703709|Оказание Банку услуг по обслуживанию ИТ- и оргтехники|117997, г.Москва, ул.Вавилова, д.19|117997, г.Москва, ул.Вавилова, д.19|https://sberbank-service.ru/|true|+7 (495) 747-34-04
28|ООО «Современные технологии»|Sovtech|sovtech.png|СовТех|7708229993|1037708040468|Комплексное эксплуатационное и техническое обслуживание объектов недвижимости и техническая эксплуатация инженерных систем.|115432, г. Москва, 2-ой Южнопортовый пр-д, д. 12а, к.1, стр.6|109147, г. Москва, ул. Марксистская, д. 34, к.7|https://совтех.рф|true|+7 (495) 665-57-99
29|ООО «Сбербанк Факторинг»|Sber_fact|sber_fact.png|Сбербанк Факторинг|7802754982|1117847260794|Оказание факторинговых услуг для предприятий всех отраслей экономики|125284, г. Москва, Ленинградский проспект, д. 31А, стр. 1, помещение I|125284, г. Москва, Ленинградский проспект, д. 31А, стр. 1, помещение I|https://sberbank-factoring.ru/|true|+ 7 (495) 230-05-17
30|ООО «Центр недвижимости от Сбербанка»|Domclick|domclick.png|ДомКлик|7736249247|1157746652150|Маркетплейс по покупке/продаже жилья (подача заявки на ипотеку без похода в банк).|121170, г. Москва, Кутузовский проспект, д. 32, корп. 1|121170, г. Москва, Кутузовский проспект, д. 32, корп. 1|https://domclick.ru/|true|+7 (800)770-99-99
31|ООО «Сетелем Банк»|Setelem|setelem.png|Сетелем|6452010742|1027739664260|Оказание услуг по POS- и автокредитованию.|125124, г. Москва, ул. Правды, дом 26|125124, г. Москва, ул. Правды, дом 26|http://www.cetelem.ru|true|+7 (495) 729-52-00
32|ООО "ПС ЯНДЕКС.ДЕНЬГИ"|Yamoney|yamoney.png|ЯндексДеньги|7736554890|1077746365113|Компания, предоставляющая сервисы виртуальных платежей (Оплата за интернет и другие услуги, онлайн-сборы средств, прием платежей)|115035, г. Москва, ул. Садовническая, д. 82, стр. 2|115035, г. Москва, ул. Садовническая, д. 82, стр. 2|https://money.yandex.ru/|true|+7 (495) 739-23-25, +7 (925) 502-63-64
33|ООО «Безопасная информационная зона»|Bizone|bizone.png|Bizone|9701036178|1167746317210|Разработчик системы кибербезопасности (Облачные услуги и сервисы для бизнеса).|105066, г. Москва, ул. Ольховская, д. 4, корп. 2, офис 515|105066, г. Москва, ул. Ольховская, д. 4, корп. 2, офис 515|https://www.bi.zone/|true|+7 (926) 587-63-69
34|ООО "НТС"|YouDrive|youdrive.png|YouDrive|7704314221|1157746368999|Каршеринг-сервис по аренде транспортного средства без экипажа|121596, г. Москва, ул. Горбунова, д. 2, стр. 3, пом. II, ком. 1|121596, г. Москва, ул. Горбунова, д. 2, стр. 3, пом. II, ком. 1|https://youdrive.today/|true|+7 499 322-38-75
35|ООО "Ситимобил"|City Mobil|citymob.png|City Mobil|7728697453|1097746203785|Сервис заказа такси через мобильное приложение, веб-сайт или оператора, осуществление пассажирских перевозок по городу.|117393, г. Москва, ул. Архитектора Власова, д. 55|117393, г. Москва, ул. Архитектора Власова, д. 55|https://city-mobil.ru/|true|+7 (495) 500-50-50
36|ООО "ЭПОХА ДИДЖИТАЛ"/ ООО "Рамблер ДС"|Rambler|rambler.png|Rambler|7726759785|5147746290269|Rambler Group - один из лидеров российской индустрии медиа и развлечений. Основные направления деятельности группы - digital-медиа, онлайн-кинотеатр и технологичные сервисы. Медиахолдинг Rambler Group, объединяющий такие ведущие интернет-издания, как Lenta.ru, Gazeta.ru, Afisha.ru, Championat.com, Rambler.ru и ряд других, занимает первое место в России по размеру ежемесячной аудитории - она превышает 50 млн человек.|117105, г. Москва, Варшавское шоссе, д. 9, стр. 1, пом. 3, комн. 21|117105, г. Москва, Варшавское шоссе, д. 9, стр. 1, пом. 3, комн. 21|https://www.rambler.ru/|true|+7(495) 785-17-00
37|ООО «Окко»|Okko|Okko.png|Okko|7814665871|1167847381130|Okko — один из самых больших легальных онлайн-кинотеатров в России, успешно работает с 2011 года.|197374, г. Санкт-Петербург, ул. Савушкина, д. 126, литер Б, пом. 53-Н|197374, г. Санкт-Петербург, ул. Савушкина, д. 126, литер Б, пом. 53-Н|https://okko.tv/|true|+7(921) 855-05-55,
38|ООО "РА "ИНДЕКС 20"|Raindex20|raindex20.png|Raindex20|7725847502|5147746311686|Рекламное агентство полного цикла, продающее рекламные площадки Rambler&Co|115280, г. Москва, ул. Ленинская Слобода, д. 19, пом. 21ФА2|115280, г. Москва, ул. Ленинская Слобода, д. 19, пом. 21ФА2|null|true|+7 (495) 785-17-00
39|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ЯНДЕКС.МАРКЕТ"|YaMarket|yamarket.png|YaMarket|7704357909|1167746491395|Платформа электронной коммерции Яндекс.Маркет. Среди совместных проектов Яндекса и Сбербанка также выделяются платформы Беру! (е-коммерция внутри страны) и bringly (трансграничная торговля).|119021, г. Москва, ул. Тимура Фрунзе, д. 11, стр. 44, этаж 5|119021, г. Москва, ул. Тимура Фрунзе, д. 11, стр. 44, этаж 5|https://market.yandex.ru/|true|+7(495) 739-70-00
40|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ПЛАТИУС"|Plazius|plazius.png|Plazius|7723920588|5147746115094|Платформа для создания программ лояльности и CRM с личным кабинетом, в котором рестораторы могут вести и пополнять базу гостей, сегментировать ее, настраивать собственную программу лояльности, запускать акции и коммуникацию для гостей, анализировать эффективность этих действий. Система интегрирована с мобильным приложением Сберфуд: Все механики лояльности ресторана доступны гостям в Сберфуд, В личном кабинете ресторатора Plazius доступна статистика и управление всеми функциями Сберфуд, включая оплату счета, безналичные чаевые и др.|115280, МОСКВА ГОРОД, УЛИЦА ЛЕНИНСКАЯ СЛОБОДА, ДОМ 19, ЧАСТЬ КОМН 21Э, ЭТАЖ 4|115280, МОСКВА ГОРОД, УЛИЦА ЛЕНИНСКАЯ СЛОБОДА, ДОМ 19, ЧАСТЬ КОМН 21Э, ЭТАЖ 4|https://plazius.biz/|true|+7 499 322 46 01
41|АО «Центр программ лояльности»|Spasibo|spasibo.png|Спасибо от Сбербанка|7702770003|1117746689840|Разрабатывает программу "Спасибо" от Сбербанка. Бонусы за использование карт Сбербанка и каталог партнеров с товарами и скидками|115114, г. Москва, 1-й Дербеневский пер., д. 5, пом. №505/506|115114, г. Москва, 1-й Дербеневский пер., д. 5, пом. №505/506|https://spasibosberbank.ru/|true|+7 (495) 957-51-68, +7 (495) 212-21-25
42|АО «Деловая среда»|Dasreda|dasreda.png|Деловая среда|7736641983|1127746271355|Совместный проект Министерства экономического развития. Платформа знаний и сервисов для старта и развития своего бизнеса.|117997, г. Москва, ул. Вавилова, д. 19|143025, Московская обл., д. Сколково, ул. Новая, д. 100, коттедж 101|https://dasreda.ru/|true|+7 (495) 957-58-14, +7 (495) 212-13-38
43|ЗАО «Объединенное кредитное бюро»|Obcredb|obcredb.png|Объединенное кредитное бюро|7710561081|1047796788819|Предоставление Банку кредитных историй физ. лиц и разработка моделей риск-менеджмента. Сервис оценки рисков, управления кредитным портфелем и противодействия мошенничеству.|127006, г. Москва, ул. 1-я Тверская-Ямская, д.2, стр.1|115184, г. Москва, ул. Большая Татарская, д. 9|https://bki-okb.ru/|true|+7 (495) 251-78-91, +7 (499) 251-02-95
44|Sberfood|Sberfood|food.png|Sberfood|1111111111|1111111111111|Мобильное приложение для гостей ресторанов и кафе с функциями поиска и бронирования столов, безналичных чаевых, разделения и оплаты счета без ожидания официанта, предварительного заказа на вынос. Приложение также позволяет использовать привилегии ресторанов в виде баллов, скидок, штампиков и др.|Sberfood address|Sberfood address|google.com|true|null
45|R_keeper|Rkeeper|rkeeper.png|Rkeeper|1111111111|1111111111111|Это комплекс решений для автоматизации ресторанов и кафе: кассовое решение, автоматизация зала, кухни, киосков самообслуживания, товарного учета и др. Интегрирована со Sberfood и Plazius|Rkeeper address|Rkeeper address|google.com|true|null
46|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СберАвто"|Sberauto|sberauto.png|Sberauto|9709054813|1197746591305|Сервис авто-кредитования|109147, г. Москва, ул. Марксистская, д. 34, корп. 7, эт. 10, пом. I, ком. 9|109147, г. Москва, ул. Марксистская, д. 34, корп. 7, эт. 10, пом. I, ком. 9|https://sber-avto.ru/|true|null
47|ООО Рамблер Интернет Холдинг|Rakassa|rakassa.png|Rakassa|7725243282|1037725059800|Рамблер/касса — онлайн-сервис, где можно купить билеты в кино, театры, на концерты и спортивные мероприятия в Москве, Санкт-Петербурге и ещё 202 городах России.|117105, г. Москва, Варшавское шоссе, д. 9, стр. 1, пом. Ж, комн. 26|117105, г. Москва, Варшавское шоссе, д. 9, стр. 1, пом. Ж, комн. 26|https://kassa.rambler.ru/|true|+7(495) 785-17-00
48|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "КОМПАНИЯ АФИША"|Afisha_res|afisha_res.png|Афиша|7710861670|1107746038410|Это ресторанное медиа, для поиска и выбора ресторанов и блюд, где также доступна функция бронирования столов. Является также рекламной площадкой для рестораторов|117105, г. Москва, Варшавское ш., 9, стр. 1|117105, г. Москва, Варшавское ш., 9, стр. 1Б., южный подъезд.|https://www.afisha.ru/|true|+7 (495) 785 17 00
49|АктивБизнесКонсалт|AKB|empty.png|АктивБизнесКонсалт|1111111111|1111111111111|ABC info|ABC address|ABC address|google.com|TRUE|
